Customer_ID,Gender,Age_Group,Customer_Segment
10001,Kadın,45-54,Bireysel
10002,Kadın,18-24,Premium
10003,Kadın,18-24,Sadık Müşteri
10004,Kadın,25-34,Sadık Müşteri
10005,Erkek,35-44,Bireysel
10006,Erkek,45-54,Bireysel
10007,Kadın,35-44,Bireysel
10008,Kadın,35-44,Sadık Müşteri
10009,Erkek,25-34,Sadık Müşteri
10010,Kadın,55+,Sadık Müşteri
10011,Erkek,25-34,Bireysel
10012,Kadın,35-44,Premium
10013,Kadın,25-34,Sadık Müşteri
10014,Kadın,45-54,Bireysel
10015,Kadın,35-44,Bireysel
10016,Erkek,25-34,Bireysel
10017,Kadın,18-24,Bireysel
10018,Kadın,35-44,Bireysel
10019,Kadın,35-44,Bireysel
10020,Kadın,25-34,Bireysel
10021,Kadın,55+,Sadık Müşteri
10022,Kadın,25-34,Bireysel
10023,Erkek,35-44,Bireysel
10024,Kadın,55+,Bireysel
10025,Kadın,25-34,Bireysel
10026,Erkek,35-44,Sadık Müşteri
10027,Kadın,25-34,Bireysel
10028,Erkek,25-34,Bireysel
10029,Kadın,55+,Sadık Müşteri
10030,Erkek,25-34,Bireysel
10031,Erkek,55+,Sadık Müşteri
10032,Erkek,25-34,Bireysel
10033,Erkek,25-34,Bireysel
10034,Kadın,18-24,Premium
10035,Erkek,35-44,Premium
10036,Kadın,25-34,Sadık Müşteri
10037,Kadın,45-54,Bireysel
10038,Kadın,35-44,Bireysel
10039,Erkek,55+,Sadık Müşteri
10040,Kadın,25-34,Bireysel
10041,Erkek,45-54,Bireysel
10042,Erkek,45-54,Bireysel
10043,Erkek,45-54,Bireysel
10044,Erkek,45-54,Premium
10045,Kadın,45-54,Bireysel
10046,Kadın,35-44,Sadık Müşteri
10047,Kadın,25-34,Bireysel
10048,Kadın,18-24,Bireysel
10049,Kadın,55+,Bireysel
10050,Kadın,35-44,Bireysel
10051,Kadın,45-54,Premium
10052,Erkek,35-44,Sadık Müşteri
10053,Erkek,18-24,Premium
10054,Kadın,25-34,Premium
10055,Erkek,35-44,Sadık Müşteri
10056,Kadın,35-44,Premium
10057,Kadın,25-34,Bireysel
10058,Erkek,35-44,Bireysel
10059,Kadın,18-24,Bireysel
10060,Kadın,35-44,Bireysel
10061,Erkek,25-34,Bireysel
10062,Erkek,45-54,Bireysel
10063,Erkek,25-34,Sadık Müşteri
10064,Erkek,35-44,Bireysel
10065,Erkek,18-24,Bireysel
10066,Kadın,18-24,Bireysel
10067,Kadın,25-34,Bireysel
10068,Kadın,35-44,Sadık Müşteri
10069,Kadın,35-44,Bireysel
10070,Erkek,25-34,Premium
10071,Kadın,35-44,Sadık Müşteri
10072,Erkek,45-54,Bireysel
10073,Erkek,45-54,Bireysel
10074,Erkek,18-24,Sadık Müşteri
10075,Erkek,35-44,Sadık Müşteri
10076,Erkek,18-24,Sadık Müşteri
10077,Kadın,25-34,Sadık Müşteri
10078,Erkek,55+,Bireysel
10079,Kadın,25-34,Bireysel
10080,Erkek,35-44,Bireysel
10081,Kadın,35-44,Sadık Müşteri
10082,Erkek,45-54,Sadık Müşteri
10083,Erkek,35-44,Bireysel
10084,Kadın,18-24,Bireysel
10085,Kadın,25-34,Bireysel
10086,Erkek,35-44,Bireysel
10087,Kadın,18-24,Sadık Müşteri
10088,Erkek,25-34,Sadık Müşteri
10089,Erkek,18-24,Premium
10090,Kadın,18-24,Bireysel
10091,Kadın,25-34,Bireysel
10092,Kadın,25-34,Sadık Müşteri
10093,Erkek,35-44,Sadık Müşteri
10094,Kadın,35-44,Bireysel
10095,Kadın,45-54,Sadık Müşteri
10096,Kadın,25-34,Bireysel
10097,Erkek,25-34,Bireysel
10098,Erkek,18-24,Bireysel
10099,Erkek,35-44,Bireysel
10100,Kadın,45-54,Bireysel
10101,Erkek,18-24,Bireysel
10102,Erkek,55+,Sadık Müşteri
10103,Erkek,18-24,Bireysel
10104,Erkek,35-44,Bireysel
10105,Kadın,45-54,Premium
10106,Kadın,45-54,Bireysel
10107,Erkek,45-54,Bireysel
10108,Kadın,45-54,Sadık Müşteri
10109,Erkek,25-34,Bireysel
10110,Erkek,45-54,Bireysel
10111,Kadın,18-24,Bireysel
10112,Erkek,55+,Bireysel
10113,Kadın,35-44,Premium
10114,Kadın,45-54,Sadık Müşteri
10115,Erkek,35-44,Sadık Müşteri
10116,Erkek,35-44,Sadık Müşteri
10117,Kadın,35-44,Sadık Müşteri
10118,Kadın,45-54,Bireysel
10119,Erkek,18-24,Premium
10120,Erkek,18-24,Bireysel
10121,Erkek,25-34,Sadık Müşteri
10122,Kadın,25-34,Premium
10123,Kadın,45-54,Bireysel
10124,Kadın,25-34,Bireysel
10125,Erkek,55+,Bireysel
10126,Kadın,25-34,Bireysel
10127,Kadın,25-34,Sadık Müşteri
10128,Erkek,45-54,Sadık Müşteri
10129,Kadın,35-44,Bireysel
10130,Erkek,35-44,Bireysel
10131,Erkek,35-44,Bireysel
10132,Erkek,45-54,Bireysel
10133,Kadın,25-34,Bireysel
10134,Kadın,55+,Bireysel
10135,Erkek,55+,Premium
10136,Erkek,35-44,Bireysel
10137,Erkek,25-34,Bireysel
10138,Kadın,35-44,Sadık Müşteri
10139,Erkek,18-24,Bireysel
10140,Erkek,18-24,Premium
10141,Erkek,25-34,Premium
10142,Erkek,35-44,Bireysel
10143,Erkek,45-54,Bireysel
10144,Erkek,45-54,Bireysel
10145,Kadın,45-54,Bireysel
10146,Kadın,25-34,Bireysel
10147,Kadın,25-34,Sadık Müşteri
10148,Kadın,25-34,Bireysel
10149,Kadın,55+,Bireysel
