Sale_ID,Date,Store_ID,Product_ID,Customer_ID,Quantity,Unit_Price,Gross_Sales,Discount_Rate,Discount_Amount,Net_Sales,Unit_Cost,Total_Cost,Profit,Sales_Channel,Payment_Method,Is_Return,Target_ID,Campaign_ID
1,2026-05-01,7,116,10024,1,2300,2300,0.11,247.03,2052.97,1050,1050,1074.83,Online,Kredi Kartı,Hayır,1135,0
2,2025-07-10,5,113,10447,1,950,950,0.13,119.8,929.83,430,430,448.23,Online,Kredi Kartı,Hayır,1053,0
3,2026-02-26,3,105,10168,1,2800,2800,0.11,309.96,2490.04,1450,1450,1002.69,Mağaza,Kredi Kartı,Hayır,1107,0
4,2025-04-30,2,116,10770,1,2300,2300,0.09,206.73,2093.27,1050,1050,1116.53,Mağaza,Kredi Kartı,Hayır,1026,0
5,2025-08-08,2,110,10289,2,3200,6400,0.11,688.55,5711.45,1800,3600,2111.45,Online,Banka Kartı,Hayır,1058,0
6,2025-02-22,8,114,11038,2,5800,11600,0.1,1182.51,10417.49,3350,6700,3717.49,Online,Kredi Kartı,Hayır,1016,0
7,2026-03-27,8,114,10438,3,5800,17400,0.09,1580.62,15819.38,3350,10050,5769.38,Online,Kredi Kartı,Hayır,1120,10
8,2026-02-16,6,103,10055,1,32000,32000,0.11,3432.65,28567.35,22500,22500,5638.84,Online,Banka Kartı,Hayır,1110,0
9,2025-08-25,7,118,10728,3,1800,5400,0.08,424.43,4975.57,850,2550,2425.57,Online,Kredi Kartı,Hayır,1063,4
10,2026-02-10,8,114,10084,1,5800,5800,0.04,-213.12,-5586.88,3350,-3350,-2236.88,Mağaza,Kredi Kartı,Evet,1112,9
11,2026-02-26,4,116,10369,1,2300,2300,0.07,155.38,2144.62,1050,1050,1169.68,Online,Kredi Kartı,Hayır,1108,0
12,2025-09-04,5,110,11185,2,3200,6400,0.1,646.49,5753.51,1800,3600,2153.51,Online,Banka Kartı,Hayır,1069,4
13,2025-03-13,3,105,10896,1,2800,2800,0.1,271.98,2528.02,1450,1450,1040.1,Mağaza,Dijital Cüzdan,Hayır,1019,0
14,2025-07-04,3,107,10306,1,14500,14500,0.13,1868.64,12631.36,9300,9300,3331.36,Online,Kredi Kartı,Hayır,1051,0
15,2025-01-06,1,119,10710,1,450,450,0.22,101.1,348.9,150,150,198.9,Mağaza,Kredi Kartı,Hayır,1001,1
16,2025-07-25,3,119,10200,2,450,900,0.09,84.2,815.8,150,300,515.8,Mağaza,Kredi Kartı,Hayır,1051,0
17,2026-06-28,5,111,10335,1,4200,4200,0.05,189.09,4492.22,2350,2350,1860.22,Mağaza,Banka Kartı,Hayır,1141,11
18,2026-01-22,3,107,10179,1,14500,14500,0.06,914.96,13585.04,9300,9300,4285.04,Mağaza,Banka Kartı,Hayır,1099,0
19,2025-03-17,7,115,10450,3,1750,5250,0.12,641.52,4608.48,720,2160,2609.78,Mağaza,Kredi Kartı,Hayır,1023,2
20,2025-06-26,2,116,11180,1,2300,2300,0.13,294.75,2005.25,1050,1050,1025.44,Online,Nakit,Hayır,1042,3
21,2025-12-15,1,117,10740,1,3100,3100,0.19,592.84,2507.16,1200,1200,1394.91,Mağaza,Kredi Kartı,Hayır,1089,8
22,2025-09-12,7,101,10868,3,18500,55500,0.04,2368.5,53131.5,12500,37500,14834.52,Mağaza,Kredi Kartı,Hayır,1071,4
23,2025-11-04,5,101,11196,1,18500,18500,0.15,2785.28,15714.72,12500,12500,2978.99,Mağaza,Kredi Kartı,Hayır,1085,6
24,2025-12-11,2,108,10978,1,5200,5200,0.13,670.84,4529.16,3000,3000,1529.16,Online,Kredi Kartı,Hayır,1090,8
25,2025-05-07,4,104,10666,1,24500,24500,0.09,2179.69,22320.31,17000,17000,4985.5,Mağaza,Banka Kartı,Hayır,1036,0
26,2025-10-14,3,117,10025,1,3100,3100,0.15,473.88,2626.12,1200,1200,1518.04,Mağaza,Kredi Kartı,Hayır,1075,5
27,2026-05-02,8,112,10476,3,3600,10800,0.07,744.67,10055.33,2050,6150,3905.33,Mağaza,Kredi Kartı,Hayır,1136,0
28,2026-01-18,5,117,10783,1,3100,3100,0.02,54.15,3045.85,1200,1200,1952.45,Mağaza,Banka Kartı,Hayır,1101,0
29,2026-02-10,1,105,10202,2,2800,5600,0.19,1052.5,4547.5,1450,2900,1579.29,Online,Kredi Kartı,Hayır,1105,9
30,2026-01-23,4,113,10610,1,950,950,0.06,52.61,897.39,430,430,467.39,Online,Kredi Kartı,Hayır,1100,0
31,2026-06-09,7,113,10589,1,950,950,0.04,36.21,913.79,430,430,483.79,Online,Dijital Cüzdan,Hayır,1143,11
32,2025-10-03,5,108,10437,1,5200,5200,0.12,630.6,4569.4,3000,3000,1569.4,Online,Banka Kartı,Hayır,1077,5
33,2026-05-15,7,111,10872,1,4200,4200,0.08,346.04,3853.96,2350,2350,1503.96,Mağaza,Banka Kartı,Hayır,1135,0
34,2025-12-03,2,113,10111,1,950,950,0.09,87.66,862.34,430,430,432.34,Mağaza,Banka Kartı,Hayır,1090,8
35,2026-04-26,7,119,10123,1,450,450,0.09,41.56,408.44,150,150,258.44,Mağaza,Kredi Kartı,Hayır,1127,0
36,2025-09-30,6,102,10054,2,12500,25000,0.12,2898.85,22101.15,8500,17000,4769.63,Mağaza,Dijital Cüzdan,Hayır,1070,0
37,2025-02-27,6,117,10167,1,3100,3100,0.14,424.3,2675.7,1200,1200,1569.35,Mağaza,Kredi Kartı,Hayır,1014,0
38,2025-11-24,2,120,10990,1,1250,1250,0.16,203.73,1046.27,570,570,476.27,Online,Kredi Kartı,Hayır,1082,7
39,2025-04-19,7,115,10435,1,1750,1750,0.05,84.87,1665.13,720,720,1003.41,Mağaza,Kredi Kartı,Hayır,1031,0
40,2025-10-06,5,116,10960,1,2300,2300,0.04,-92.52,-2207.48,1050,-1050,-1234.74,Online,Kredi Kartı,Evet,1077,5
41,2025-11-24,7,105,10601,1,2800,2800,0.17,469.11,2330.89,1450,1450,845.92,Online,Kredi Kartı,Hayır,1087,7
42,2025-11-11,3,111,11035,1,4200,4200,0.12,-501.33,-3698.67,2350,-2350,-1348.67,Online,Dijital Cüzdan,Evet,1083,6
43,2026-04-19,1,115,10509,1,1750,1750,0.11,191.7,1558.3,720,720,892.84,Mağaza,Banka Kartı,Hayır,1121,0
44,2025-04-21,2,113,10564,2,950,1900,0.11,201.35,1698.65,430,860,838.65,Online,Kredi Kartı,Hayır,1026,0
45,2025-08-17,3,109,10725,2,8900,17800,0.07,-1216.92,-16583.08,5100,-10200,-6383.08,Mağaza,Dijital Cüzdan,Evet,1059,4
46,2026-05-12,4,119,11078,1,450,450,0.08,35.2,414.8,150,150,264.8,Mağaza,Kredi Kartı,Hayır,1132,0
47,2025-06-05,4,111,10247,1,4200,4200,0.07,309.57,3890.43,2350,2350,1540.43,Mağaza,Kredi Kartı,Hayır,1044,3
